"artist_id","artist_name","embedding","image_url"
8184,"People Under The Stairs","[0.26496366163094837, -0.19669383391737938, 0.005427866553266843, -0.04874529937903086, -0.024719951208680868, -0.23421049863100052, -0.09288901680459578, -0.049423900277664266, -0.2263675034046173, -0.003166617825627327, -0.16113698358337084, -0.02778010070323944, -0.03212509987254938, 0.3757475068171819, 0.07711619976907969, -0.0759496505682667, -0.17995548248291016, -0.22463516891002655, -0.2557290469606717, -0.13023871866365275, 0.0527750002220273, -0.41540832817554474, 0.0044576493091881275, 0.08226438363393147, 0.11928393381337325, -0.1924958328406016, 0.24372349927822748, 0.35224150121212006, 0.4274968355894089, -0.07981354991594951, 0.1275806842992703, -0.15884275237719217]","https://i.scdn.co/image/b95c7fe573c82590884a2e7a80a02947c12d9b69"
48,"Gilles Peterson","[0.19253757063831603, -0.10083530284464359, -0.12884329951235227, -0.12185695215261408, -0.07883887027855963, -0.2366470013345991, -0.1363451715026583, 0.020916886627674103, -0.2562701425382069, -0.010589356667229108, -0.056137883137645464, 0.0042521706117050985, -0.11586171335407666, 0.4164490061146872, -0.005856584757566452, -0.19626578635403089, -0.1299795974045992, -0.30610585638454985, -0.1771850436925888, -0.10142021413360323, 0.15705458606992448, -0.48389600430216106, 0.006909812135355813, 0.05230420136025974, 0.0011933803159211362, -0.12715114333799907, 0.2708552841629301, 0.3729309950556074, 0.32343114061014994, 0.02292375479425703, 0.2147622002022607, -0.18613314415727342]","https://i.scdn.co/image/29f5a9ab7fff1ba5c56a595564b4d89c2f054c99"
5040,"Phoebe Bridgers","[0.21052050217986107, -0.10606225021183491, -0.045636722818017006, -0.06470625195652246, -0.08876704191789031, -0.198015995323658, -0.216110248118639, -0.027560625690966845, -0.2945682480931282, 0.05369342560879886, -0.07671320025110617, 0.1245300006121397, 0.11500529944896698, 0.3094717487692833, 0.0744061516597867, -0.01052765327040106, -0.360641248524189, -0.22602299973368645, -0.04700547503307462, 0.04671989940106869, 0.0308015001937747, -0.31673499941825867, -0.03407942864578217, -0.04783355235122144, 0.018423137429635972, -0.2344132550060749, 0.2729499973356724, 0.2446179986000061, 0.4693577513098717, 0.10521862749010324, 0.21903074905276299, -0.023845170275308192]","https://i.scdn.co/image/441fc54edfb66ef182d90a8624c9245d7f8f349b"
22013,"Enny","[0.3345400094985962, -0.012472400441765785, -0.05719900131225586, 0.027969300746917725, -0.102633997797966, -0.3080750107765198, -0.10545600205659866, 0.21629400551319122, -0.39096599817276, 0.33365198969841003, -0.1113789975643158, -0.03678220137953758, 0.07840310037136078, 0.23830699920654297, 0.08350429683923721, 0.16610200703144073, -0.5211439728736877, -0.19548699259757996, -0.10428199917078018, -0.1335500031709671, 0.06462299823760986, -0.5758680105209351, -0.04267439991235733, 0.16244299709796906, -0.03439389914274216, -0.247747004032135, 0.43538498878479004, 0.09036470204591751, 0.21010999381542206, 0.3540729880332947, 0.003438210114836693, 0.14261400699615479]",
3564,"Beardyman","[0.15611655711763334, -0.19908554268258377, 0.034892905078114114, 0.08010272204446355, 0.02161183761515156, -0.1687811420690484, -0.18524618441133636, -0.02017057965364244, -0.33557505770144463, -0.01353620460074045, -0.02995167103525502, -0.015770935944159663, -0.03300121583866109, 0.3956328138682258, 0.11198423765772389, -0.15850912860836514, -0.19192438181896124, -0.30739769895654107, -0.10730225986454373, -0.07536803245848794, 0.022866998605887142, -0.5221576429220449, 0.08020819376850048, 0.07021444951099204, 0.11536073862642922, -0.14190405244790003, 0.18811654354298266, 0.2842167733682199, 0.35568154244800076, -0.0403677589107061, 0.13696311459914792, -0.09771882330822809]","https://i.scdn.co/image/dffdb9645796b5f28bcfb5686e1c7e0cf1ac205e"
5768,"Fleetwood Mac","[0.18773517291992903, -0.11983922647777945, -0.1061581876128912, -0.08348034927621484, -0.010741198435425758, -0.13263593474403024, -0.13667052472010255, 0.1280477731488645, -0.30348000302910805, 0.03850342379882932, -0.1841099988669157, 0.11937539838254452, 0.1048385333015176, 0.17863652482628822, 0.14505051262676716, 0.021918162470683455, -0.4627530053257942, -0.32749699987471104, -0.1187351563712582, 0.1291240228456445, 0.010719076846726239, -0.6429348774254322, -0.20766322407871485, -0.2683943770825863, 0.09713088721036911, -0.17404440185055137, 0.30127187445759773, 0.10746843973174691, 0.3127001244574785, -0.15202239924110472, 0.04650512873195112, 0.03703347407281399]","https://i.scdn.co/image/4f7f18a93be4af82f876ff9ce79ede8a3cecd712"
8826,"Cosha","[0.15555480122566223, -0.18348250091075896, -0.031191963516175748, 0.04634963003918528, -0.08811133888084441, -0.19323579967021942, -0.20697540044784546, -0.03593491911888123, -0.2583443969488144, 0.09557309821248054, -0.028515628585591913, 0.0515043593943119, 0.04281547889113426, 0.3066146016120911, 0.024682378768920897, -0.009228582866489888, -0.27764599919319155, -0.33711159229278564, -0.15943700075149536, 0.004619160667061806, 0.07618712112307549, -0.4430988013744354, -0.0013699264265596867, 0.029373457282781602, 0.017488639475777744, -0.1737552046775818, 0.21804820001125336, 0.27360140085220336, 0.41643339991569517, 0.09677133709192276, 0.1634561985731125, -0.05073138028383255]","https://i.scdn.co/image/8743fa1f0ce82198608fa86e63ad69003156c722"
146342,"Julien Doré","[0.24868999421596527, -0.30866798758506775, 0.05629289895296097, -0.014672599732875824, 0.15981799364089966, -0.22187000513076782, -0.1693599969148636, -0.19074000418186188, -0.2202409952878952, -0.13192300498485565, -0.06639750301837921, 0.09275300055742264, 0.3153969943523407, 0.3915939927101135, 0.03509879857301712, 0.13565200567245483, -0.30456599593162537, -0.2662070095539093, -0.09421669691801071, 0.025295499712228775, 0.1516750007867813, -0.4915370047092438, 0.129271999001503, 0.1610639989376068, 0.052843499928712845, 0.12091899663209915, 0.19464799761772156, 0.2555930018424988, 0.4259600043296814, 0.19252200424671173, 0.08620619773864746, -0.09462849795818329]","https://i.scdn.co/image/8c7b0cece823c51e50388d13a2712151f42f8fa5"
10619,"The Covasettes","[0.12020989693701267, -0.03795622568577528, -0.029298449866473675, -0.09950917726382613, -0.18177999928593636, -0.1309288227930665, -0.22773784771561623, -0.04949109978042543, -0.330145999789238, 0.06052850070409477, -0.10624542739242315, 0.06413564993999898, 0.07324027642607689, 0.25105249509215355, 0.1175142265856266, -0.0738176004961133, -0.41316574811935425, -0.2674430049955845, -0.10768602602183819, -0.03270351712126285, -0.010609449818730354, -0.43273425102233887, -0.06100545171648264, -0.005628049839287996, 0.0554197751916945, -0.21513300389051437, 0.30952199921011925, 0.23288024961948395, 0.4263637587428093, 0.190488301217556, -0.0023922473192214966, 0.0613717008382082]",
15381,"Dancehall","[0.1287049949169159, 0.018213700503110886, -0.08048029989004135, -0.012435199692845345, -0.1263590008020401, -0.20674000680446625, -0.12375500053167343, 0.007979409769177437, -0.30048200488090515, -0.03667059913277626, -0.0687234029173851, 0.07642419636249542, 0.20755000412464142, 0.20415200293064117, 0.27666500210762024, -0.03471820056438446, -0.32448598742485046, -0.29788699746131897, -0.07212419807910919, -0.03616710007190704, 0.05216800048947334, -0.4249959886074066, -0.11545299738645554, -0.021628299728035927, -0.030650999397039413, -0.14983400702476501, 0.27231401205062866, 0.21802599728107452, 0.5172970294952393, 0.1716720014810562, 0.1795790046453476, -0.03545499965548515]",
